group (informal),order,family,genus,species,based on,era,period,epoch,formation,continent,country,reference (APA),year,doi,author of the reconstruction,Copyright holder,license,type of reconstuction,Full text link,notes
ferns,,,Gordonopteris,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
ferns,,,Neuropteridium,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
ferns,,,Anomopteris,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
ferns,,,Sphenopteris,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
ferns,,,Liknopetalon,Liknopetalon anomalum,,Palaeozoic,Permian,,Irwin River,Australia,Australia,Adendorff R. Bamford M. K. & McLoughlin S. (2003). Liknopetalon: a review of a rare gondwanan Permian pteridophyte. Review of Palaeobotany and Palynology 126(1-2) 83-101.,2003,10.1016/S0034-6667(03)00061-7,,,,whole plant,,
ginkgophytes,Ginkgoales,,Nehvizdyella,Nehvizdyella bipartita,,Mesozoic,Cretaceous,Late Cretaceous,Peruc-Korycany Formation,Europe,Czechia,Kva_ek J. Falcon_Lang H. J. & Da_kovâ€¡ J. (2005). A new Late Cretaceous ginkgoalean reproductive structure Nehvizdyella gen. nov. from the Czech Republic and its whole_plant reconstruction. American Journal of Botany 92(12) 1958-1969.,2005,10.3732/ajb.92.12.1958,JirÃ¿Ãµ__ Svoboda,Botanical Society of America,,whole plant-ish,https://bsapubs.onlinelibrary.wiley.com/doi/full/10.3732/ajb.92.12.1958,
ginkgophytes,,,Karkenia,Karkenia recurva,,Mesozoic,Cretaceous,Early Cretaceous,Bajo Tigre Formation,South America,Argentina,Archangelsky S. (1965). Fossil Ginkgoales from the Tico Flora Santa Cruz Province Argentina. Bulletin of the British Museum (Natural History) Geology 10(5) 119Ãê137.,1965,,,The Trustees of the Natural History Museum London,CC BY-NC-SA 4.0,whole plant-ish,https://www.biodiversitylibrary.org/item/112052#page/213/mode/1up,
ginkgophytes,,,Umaltolepis,Umaltolepis mongoliensis,,Mesozoic,Cretaceous,Early Cretaceous,Tevshiingovi Formation,Asia,Mongolia,Herrera F. Shi G. Ichinnorov N. Takahashi M. Bugdaeva E. V. Herendeen P. S. & Crane P. R. (2017). The presumed ginkgophyte Umaltolepis has seed-bearing structures resembling those of Peltaspermales and Umkomasiales. Proceedings of the National Academy of Sciences 114(12) E2385-E2391.,2017,10.1073/pnas.1621409114,Pollyanna von Knorring,NAS,,whole plant-ish,https://www.pnas.org/content/114/12/E2385,
ginkgophytes,Ginkgoales,,Ginkgo,Ginkgo yimaensis,,Mesozoic,Jurassic,Middle Jurassic,Yima Formation,Asia,China,Zhou Z. & Zhang B. (1989). A Middle Jurassic Ginkgo with ovule-bearing organs from Henan China. Palaeontographica Abteilung B 113-133.,1989,,,Schweizerbart,,whole plant-ish,,
ginkgophytes,Ginkgoales,,Ginkgo,Ginkgo yimaensis,,Mesozoic,Jurassic,Middle Jurassic,Yima Formation,Asia,China,Dong C. Zhou Z. Zhang B. Wang Y. & Shi G. (2019). Umaltolepis and associated Pseudotorellia leaves from the Middle Jurassic of Yima in Henan Province Central China. Review of Palaeobotany and Palynology 271 104111. http://doi.org/10.1016/j.revpalbo.2019.104111,2019,10.1016/j.revpalbo.2019.104111,,Elsevier,,whole plant-ish,https://www.sciencedirect.com/science/article/pii/S0034666719301526,
ginkgophytes,,,Yimaia,Yimaia recurva (+ Baiera hallei),,Mesozoic,Jurassic,Middle Jurassic,Yima Formation,Asia,China,Zhiyan Z. & Zhang Bole Y. (1992). Baiera hallei Sze and associated ovule-bearing organs from the Middle Jurassic of Henan China. Palaeontographica Abteilung B 224(4Ãê6) 151Ãê169.,1992,,,Schweitzerbart Science Publishers,,whole plant-ish,https://www.schweizerbart.de/papers/palab/detail/224/72461/iBaiera_hallei_i_Sze_and_associated_ovule_bearing_organs_from_the_Middle_Jurassic_of_Henan_China,
ginkgophytes,,,Yimaia,Yimaia recurva (+ Baiera hallei),,Mesozoic,Jurassic,Middle Jurassic,Yima Formation,Asia,China,Dong C. Zhou Z. Zhang B. Wang Y. & Shi G. (2019). Umaltolepis and associated Pseudotorellia leaves from the Middle Jurassic of Yima in Henan Province Central China. Review of Palaeobotany and Palynology 271 104111. http://doi.org/10.1016/j.revpalbo.2019.104111,2019,10.1016/j.revpalbo.2019.104112,,Elsevier,,whole plant-ish,https://www.sciencedirect.com/science/article/pii/S0034666719301526,
ginkgophytes,,,Karkenia,Karkenia henanensis (Sphenobaiera sp.),,Mesozoic,Jurassic,Middle Jurassic,Yima Formation,Asia,China,Dong C. Zhou Z. Zhang B. Wang Y. & Shi G. (2019). Umaltolepis and associated Pseudotorellia leaves from the Middle Jurassic of Yima in Henan Province Central China. Review of Palaeobotany and Palynology 271 104111. http://doi.org/10.1016/j.revpalbo.2019.104111,2019,10.1016/j.revpalbo.2019.104112,,Elsevier,,whole plant-ish,https://www.sciencedirect.com/science/article/pii/S0034666719301526,
glossopterids,Glossopteridales,,Dictyopteridium,Dictyopteridium sporiferum,,Palaeozoic,Permian,Lopingian,,Australia,Australia,Retallack G. J. & Dilcher D. L. (1988). Reconstructions of selected seed ferns. Annals of the Missouri Botanical Garden 1010-1057.,1988,10.2307/2399379,,Missouri Botanical Garden Press,,whole plant,https://www.jstor.org/stable/2399379?casa_token=lVGmujy1H2oAAAAA:uQ8XOD27KwwNJ3DobR1CVowzUaTQa0ZDbNkHTHJFLPs8zfTvWZ8iTRu9f4rvNKnK1l3ODUb9QLt5YLmmM98UlN1D-ywgKT9kezdz81U65-xJBrimI4HPbg&seq=1#metadata_info_tab_contents,
glossopterids,Glossopteridales,,Glossopteris,,,Palaeozoic,Permian,,,Europe,,Prevec R. (2012). The life of coal: ancient forests that power our nation. Quest 8(4) 26-31.,2012,,Rose Prevec,???,,whole plant,https://hdl.handle.net/10520/EJC130624,
gnetophytes,Gnetales,,Drewria,Drewria potomacensis,,Mesozoic,Cretaceous,Early Cretaceous,Potomac Group,North America,USA,Crane P. R. & Upchurch Jr G. R. (1987). Drewria potomacensis gen. et sp. nov. an Early Cretaceous member of Gnetales from the Potomac Group of Virginia. American Journal of Botany 74(11) 1722-1736.,1987,10.1002/j.1537-2197.1987.tb08774.x,P. Quasthoff,Botanical Society of America,,whole plant-ish,https://www.jstor.org/stable/pdf/2444143.pdf?casa_token=Zd7ERqeOB7YAAAAA:6vkmWp9OntccHxg4nyF0XF-804u877CA0r7LYRmhClIYW18v1ARFaT_k5__ZTb86es2zSWcr3i4vQp09lKHWIaFucmJnuLDdjX2tlrEAKobHCCbmy_8MLg,
gnetophytes,Gnetales,,Liaoxia,Liaoxia chenii,,Mesozoic,Cretaceous,Early Cretaceous,Yixian Formation,Asia,China,Rydin C. Wu S. Q. & Friis E. M. (2006). Liaoxia Cao et SQ Wu (Gnetales): ephedroids from the Early Cretaceous Yixian Formation in Liaoning northeastern China. Plant Systematics and Evolution 262(3-4) 239-265.,2006,10.1007/s00606-006-0481-2,Pollyanna von Knorring,Springer Nature,,whole plant,https://link.springer.com/content/pdf/10.1007/s00606-006-0481-2.pdf,
gymnosperms,Petriellales,,Rochipteris,Rochipteris alexandriana,,Mesozoic,Triassic,,Fremouw Formation,Antarctica,Antarctica,Bomfleur B. Decombeix A. L. Schwendemann A. B. Escapa I. H. Taylor E. L. Taylor T. N. & McLoughlin S. (2014). Habit and ecology of the Petriellales an unusual group of seed plants from the Triassic of Gondwana. International Journal of Plant Sciences 175(9) 1062-1075.,2014,10.1086/678087,,UNIVERSITY OF CHICAGO PRESS,,whole plant,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/678087,usable under US fair use
gymnosperms,,,Dordrechtities,Dordrechtities spp.,,Mesozoic,Triassic,,,Africa,South Africa,Anderson and Anderson (2003) Heyday of the gymnosperms: systematics and biodiversity of the Late Triassic Molteno Formation. Strelitsia 15,2003,,,,,,,
horsetails,,,Equisetites,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
horsetails,,,Neocalamites,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
horsetails,Equisetales,,Sphenophyllum,Sphenophyllum costae,,Palaeozoic,Carboniferous,,Sydney Mines Formation,North America,Canada,Bashforth A. R. & Zodrow E. L. (2007). Partial reconstruction and palaeoecology of Sphenophyllum costae (Middle Pennsylvanian Nova Scotia Canada). Bulletin of Geosciences 82(4) 365-382,2007,10.3140/bull.geosci.2007.04.365,,unclear potentially authors,unclear potentially free?,whole plant,https://www.researchgate.net/profile/Arden_Bashforth/publication/26490361_Partial_reconstruction_and_palaeoecology_of_Sphenophyllum_costae_Middle_Pennsylvanian_Nova_Scotia_Canada/links/0deec51539b003e438000000.pdf,
lycopsids,,,Diaphorodendron,Diaphorodendron scleroticum,,Palaeozoic,Carboniferous,Pennsylvanian,,North America,USA,Wnuk C. (1985). The ontogeny and paleoecology of Lepidodendron rimosum and Lepidodendron bretonense trees from the Middle Pennsylvanian of the Bernice Basin (Sullivan County Pennsylvania). Palaeontographica Abteilung B PalÅ ophytologie 195(5-6) 153-181.,1985,,,Schweizerbart,,whole plant,,
lycopsids,,,Lepidophloios,Lepidophloios hallii,,Palaeozoic,Carboniferous,,,North America,USA,Dimichele W. A. & Phillips T. L. (1985). Arborescent lycopod reproduction and paleoecology in a coal-swamp environment of late Middle Pennsylvanian age (Herrin Coal Illinois USA). Review of Palaeobotany and Palynology 44(1-2) 1-26.,1985,10.1016/0034-6667(85)90026-0,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/pii/0034666785900260,
lycopsids,,,Anabathra,Anabathra pulcherrima,,Palaeozoic,Carboniferous,,,North America,USA,Dimichele W. A. & Phillips T. L. (1985). Arborescent lycopod reproduction and paleoecology in a coal-swamp environment of late Middle Pennsylvanian age (Herrin Coal Illinois USA). Review of Palaeobotany and Palynology 44(1-2) 1-26.,1985,10.1016/0034-6667(85)90026-0,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/pii/0034666785900260,
lycopsids,,,Synchysidendron,Synchysidendron dicentricum,,Palaeozoic,Carboniferous,Pennsylvanian,,North America,USA,Wnuk C. (1985). The ontogeny and paleoecology of Lepidodendron rimosum and Lepidodendron bretonense trees from the Middle Pennsylvanian of the Bernice Basin (Sullivan County Pennsylvania). Palaeontographica Abteilung B PalÅ ophytologie 195(5-6) 153-181.,1985,,,Schweizerbart,,whole plant,,
lycopsids,,,Sigillaria,Sigillaria approximata,,Palaeozoic,Carboniferous,,,Europe,,Max H. (1927). Handbuch der PalÅ obotanik. Alexander Doweld.,1927,,,???,,whole plant,,
lycopsids,,,Diaphorodendron,Diaphorodendron phillipsii,,Palaeozoic,Carboniferous,Pennsylvanian,,North America,USA,Wnuk C. (1985). The ontogeny and paleoecology of Lepidodendron rimosum and Lepidodendron bretonense trees from the Middle Pennsylvanian of the Bernice Basin (Sullivan County Pennsylvania). Palaeontographica Abteilung B PalÅ ophytologie 195(5-6) 153-181.,1985,,,Schweizerbart,,whole plant,,
lycopsids,,,Chaloneria,Chaloneria cormosa,,Palaeozoic,Carboniferous,,,North America,USA,Pigg K. B. & Rothwell G. W. (1983). Chaloneria gen. nov.,,,,,,,,
lycopsids,,,Hizemodendron,Hizemodendron serratum,,Palaeozoic,Carboniferous,,,North America,,Bateman R. M. DiMichele W. A. & Willard D. A. (1992). Experimental cladistic analysis of anatomically preserved arborescent lycopsids from the Carboniferous of Euramerica: an essay on paleobotanical phylogenetics. Annals of the Missouri Botanical Garden 500-559.,1992,10.2307/2399752,,Missouri Botanical Garden Press,,whole plant,https://repository.si.edu/bitstream/handle/10088/7110/paleo_1992_Bateman_et_al._AMBG.pdf,
lycopsids,,,Paralycopodites,Paralycopodites brevifolius,,Palaeozoic,Carboniferous,,,North America,USA,Dimichele W. A. & Phillips T. L. (1985). Arborescent lycopod reproduction and paleoecology in a coal-swamp environment of late Middle Pennsylvanian age (Herrin Coal Illinois USA). Review of Palaeobotany and Palynology 44(1-2) 1-26.,1985,10.1016/0034-6667(85)90026-0,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/pii/0034666785900260,
lycopsids,,,Paurodendron,Paurodendron fraipontii,,Palaeozoic,Carboniferous,,,,,Schlanker C. M. & Leisman G. A. (1969). The herbaceous Carboniferous lycopod Selaginella fraiponti comb. nov. Botanical gazette 130(1) 35-41.,1969,,,UNIVERSITY OF CHICAGO PRESS,,whole plant,https://www.journals.uchicago.edu/doi/abs/10.1086/336466,
lycopsids,,,Oxroadia,Oxroadia gracilis,,Palaeozoic,Carboniferous,,,Europe,Scotland,Bateman R. M. (1988). Palaeobotany and palaeoenvironments of Lower Carboniferous floras from two volcanigenic terrains in the Scottish Midland Valley (Doctoral dissertation Royal Holloway University of London).,1988,,,author?,,whole plant,,
lycopsids,Isoetales,,Paurodendendron,Paurodendendron stellatum,,Palaeozoic,Permian,,,Antarctica,Antarctica,McLoughlin S. Drinnan A. N. Slater B. J. & Hilton J. (2015). Paurodendron stellatum: a new Permian permineralized herbaceous lycopsid from the Prince Charles Mountains Antarctica. Review of Palaeobotany and Palynology 220 1-15.,2015,10.1016/j.revpalbo.2015.04.004,,Authors,unclear,,,
lycopsids,,,Lycopia,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
lycopsids,,,Lepacyclotes,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
pteridosperms,Caytoniales,,Ruflorinia,,Ruflorinia sierra Ktaleniacircularis,Mesozoic,Cretaceous,Early Cretaceous,Baquero group,South America,Argentina,Taylor T. N. & Archangelsky S. (1985). The Cretaceous pteridosperms Ruflorinia and Ktalenia and implications on cupule and carpel evolution. American Journal of Botany 72(12) 1842-1853.,1985,10.1002/j.1537-2197.1985.tb08458.x,,Botanical Society of America,,branch,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/j.1537-2197.1985.tb08458.x,
pteridosperms,Caytoniales,,Caytonia,Caytonia nathorstii,,Mesozoic,Jurassic,Middle Jurassic,Eller Beck formation ?,Europe,England,Retallack G. J. & Dilcher D. L. (1988). Reconstructions of selected seed ferns. Annals of the Missouri Botanical Garden 1010-1057.,1988,10.2307/2399379,,Missouri Botanical Garden Press,,whole plant,https://www.jstor.org/stable/2399379?casa_token=lVGmujy1H2oAAAAA:uQ8XOD27KwwNJ3DobR1CVowzUaTQa0ZDbNkHTHJFLPs8zfTvWZ8iTRu9f4rvNKnK1l3ODUb9QLt5YLmmM98UlN1D-ywgKT9kezdz81U65-xJBrimI4HPbg&seq=1#metadata_info_tab_contents,
pteridosperms,Peltaspermales,,Peltaspermum,Peltaspermum thomasi,,Mesozoic,Triassic,Late Triassic,,Africa,South Africa,Retallack G. J. & Dilcher D. L. (1988). Reconstructions of selected seed ferns. Annals of the Missouri Botanical Garden 1010-1057.,1988,10.2307/2399379,,Missouri Botanical Garden Press,,whole plant,https://www.jstor.org/stable/2399379?casa_token=lVGmujy1H2oAAAAA:uQ8XOD27KwwNJ3DobR1CVowzUaTQa0ZDbNkHTHJFLPs8zfTvWZ8iTRu9f4rvNKnK1l3ODUb9QLt5YLmmM98UlN1D-ywgKT9kezdz81U65-xJBrimI4HPbg&seq=1#metadata_info_tab_contents,
pteridosperms,Corystospermales,,Umkomasia,Umkomasia granulata,,Mesozoic,Triassic,Late Triassic,,Africa,South Africa,Retallack G. J. & Dilcher D. L. (1988). Reconstructions of selected seed ferns. Annals of the Missouri Botanical Garden 1010-1057.,1988,10.2307/2399379,,Missouri Botanical Garden Press,,whole plant,https://www.jstor.org/stable/2399379?casa_token=lVGmujy1H2oAAAAA:uQ8XOD27KwwNJ3DobR1CVowzUaTQa0ZDbNkHTHJFLPs8zfTvWZ8iTRu9f4rvNKnK1l3ODUb9QLt5YLmmM98UlN1D-ywgKT9kezdz81U65-xJBrimI4HPbg&seq=1#metadata_info_tab_contents,
pteridosperms,,,Scytophyllum,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
pteridosperms,,,Sagenopteris,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
pteridosperms,,,Ptilozamites,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
pteridosperms,,,Stamnostoma,Stamnostoma huttonense,,Palaeozoic,Carboniferous,Mississipian,,Europe,Scotland,Retallack G. J. & Dilcher D. L. (1988). Reconstructions of selected seed ferns. Annals of the Missouri Botanical Garden 1010-1057.,1988,10.2307/2399379,,Missouri Botanical Garden Press,,whole plant,https://www.jstor.org/stable/2399379?casa_token=lVGmujy1H2oAAAAA:uQ8XOD27KwwNJ3DobR1CVowzUaTQa0ZDbNkHTHJFLPs8zfTvWZ8iTRu9f4rvNKnK1l3ODUb9QLt5YLmmM98UlN1D-ywgKT9kezdz81U65-xJBrimI4HPbg&seq=1#metadata_info_tab_contents,
pteridosperms,,,Lyrasperma,Lyrasperma scotica,,Palaeozoic,Carboniferous,Mississipian,,,,Retallack G. J. & Dilcher D. L. (1988). Reconstructions of selected seed ferns. Annals of the Missouri Botanical Garden 1010-1057.,1988,10.2307/2399379,,Missouri Botanical Garden Press,,whole plant,https://www.jstor.org/stable/2399379?casa_token=lVGmujy1H2oAAAAA:uQ8XOD27KwwNJ3DobR1CVowzUaTQa0ZDbNkHTHJFLPs8zfTvWZ8iTRu9f4rvNKnK1l3ODUb9QLt5YLmmM98UlN1D-ywgKT9kezdz81U65-xJBrimI4HPbg&seq=1#metadata_info_tab_contents,
pteridosperms,,,Calathospermum,Calathospermum fimbriatum,,Palaeozoic,Carboniferous,Mississipian,,,,Retallack G. J. & Dilcher D. L. (1988). Reconstructions of selected seed ferns. Annals of the Missouri Botanical Garden 1010-1057.,1988,10.2307/2399379 ,,Missouri Botanical Garden Press,,whole plant,https://www.jstor.org/stable/2399379?casa_token=lVGmujy1H2oAAAAA:uQ8XOD27KwwNJ3DobR1CVowzUaTQa0ZDbNkHTHJFLPs8zfTvWZ8iTRu9f4rvNKnK1l3ODUb9QLt5YLmmM98UlN1D-ywgKT9kezdz81U65-xJBrimI4HPbg&seq=1#metadata_info_tab_contents,
pteridosperms,,,Lagenostoma,Lagenostoma lomaxii,,Palaeozoic,Carboniferous,Pennsylvanian,,,,Retallack G. J. & Dilcher D. L. (1988). Reconstructions of selected seed ferns. Annals of the Missouri Botanical Garden 1010-1057.,1988,10.2307/2399379,,Missouri Botanical Garden Press,,whole plant,https://www.jstor.org/stable/2399379?casa_token=lVGmujy1H2oAAAAA:uQ8XOD27KwwNJ3DobR1CVowzUaTQa0ZDbNkHTHJFLPs8zfTvWZ8iTRu9f4rvNKnK1l3ODUb9QLt5YLmmM98UlN1D-ywgKT9kezdz81U65-xJBrimI4HPbg&seq=1#metadata_info_tab_contents,
pteridosperms,,,Pachytesta,Pachytesta illinoensis,,Palaeozoic,Carboniferous,Pennsylvanian,,,,Retallack G. J. & Dilcher D. L. (1988). Reconstructions of selected seed ferns. Annals of the Missouri Botanical Garden 1010-1057.,1988,10.2307/2399379,,Missouri Botanical Garden Press,,whole plant,https://www.jstor.org/stable/2399379?casa_token=lVGmujy1H2oAAAAA:uQ8XOD27KwwNJ3DobR1CVowzUaTQa0ZDbNkHTHJFLPs8zfTvWZ8iTRu9f4rvNKnK1l3ODUb9QLt5YLmmM98UlN1D-ywgKT9kezdz81U65-xJBrimI4HPbg&seq=1#metadata_info_tab_contents,
pteridosperms,Callistophytales,,Callospermarion,Callospermarion pusillum,,Palaeozoic,Carboniferous,Pennsylvanian,,,,Retallack G. J. & Dilcher D. L. (1988). Reconstructions of selected seed ferns. Annals of the Missouri Botanical Garden 1010-1057.,1988,10.2307/2399379,,Missouri Botanical Garden Press,,whole plant,https://www.jstor.org/stable/2399379?casa_token=lVGmujy1H2oAAAAA:uQ8XOD27KwwNJ3DobR1CVowzUaTQa0ZDbNkHTHJFLPs8zfTvWZ8iTRu9f4rvNKnK1l3ODUb9QLt5YLmmM98UlN1D-ywgKT9kezdz81U65-xJBrimI4HPbg&seq=1#metadata_info_tab_contents,
pteridosperms,Callistophytales,,Dicksoniites (=Callistorphyton),Dicksoniites pluckenetii,,Palaeozoic,Carboniferous,Pennsylvanian,,Europe,France,Galtier and BÅ?thoux (2002) Morphology and growth habit of Dicksonites pluckenetii from the Upper Carboniferous of Graissessac (France),2002,10.1016/S0016-6995(02)00070-0,,Missouri Botanical Garden Press,,whole plant,,
pteridosperms,Medullosales,,Laveineopteris,Laveineopteris spp.,,Palaeozoic,Carboniferous,Pennsylvanian,,,,Schute and Cleal (2002) Palaeontology Vol. 45 Part 5 2002 pp. 943Â±972 6 pls,2002,,,,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1475-4983.00270,
pteridosperms,,,Occloa,Occloa sp.,,Palaeozoic,Carboniferous,,,America,Peru,LePage B.A. and Pfefferkorn H.W. 2000. Did ground cover change over geologic time?. The Paleontological Society Papers 6 pp.171-182.,2000,https://doi.org/10.1017/S1089332600000759,,Paleontological Society,,,,
pteridosperms,Medullosales,,Pseudomariopteris,Pseudomariopteris busquetii,,Palaeozoic,Carboniferous,Pennsylvanian,,Europe,France,Krings et al. (2001) Reconstruction of Pseudomariopteris busquetii  a vine_like Late CarboniferousÃêEarly Permian pteridosperm,2001,https://doi.org/10.2307/2657029,,Botanical Society of America,,,,
pteridosperms,,,Elkinsia,Elkinsia polymorpha,,Palaeozoic,Devonian,Late Devonian,Upper Hampshire,North America,USA,Serbet and Rothwell (1992) Characterizing the Most Primitive Seed Ferns. I. A Reconstruction of Elkinsia polymorpha. ,1992,,,,,,https://www.jstor.org/stable/2995582?seq=1#metadata_info_tab_contents,
unknown,,,Arnoldia,Arnoldia keusii,,Palaeozoic,Permian,,,North America,USA,Ash and Tidwell (1986) A new juvenile fernlike plant from the lower Permian of New Mexico. Botanical Gazette 147: 236-242,1986,https://doi.org/10.1086/337589,,UNIVERSITY OF CHICAGO PRESS,,young plant,https://www.journals.uchicago.edu/doi/abs/10.1086/337589?mobileUi=0,
